,Unnamed: 0,listing_id,title,make,model,description,manufactured,original_reg_date,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,lifespan,eco_category,features,accessories,indicative_price,price,market_price,bargain
79,11828,1000222,Renault Megane RS 265 2.0M,renault,megane,"upgraded hu, speakers, amplifier and sub-woofy 18' hellaflush wheels. reversing clear all parking curbs. forged recirculating valve. peaceful in normal ecu mode, loud when engaging ecu's extreme mode to unleash additional power. interior in very good condition, cleaned almost daily. retaining number plate reflecting year of the fire dragon.",2013,,25-Jul-13,sports car,"parf car, direct owner sale",manual,1379,195,,1998,3,19920,76389,1210,31976,,28270,31578,,,uncategorized,short shifter pops & bangs spit fire owner's 3rd 2 door manual only sports car manual sports car appreciating. manual ftw! view specs of the renault megane,,,59300,83147.46,23847.46
3618,15367,974592,Land Rover Defender 90,land rover,defender,"consignment unit. full serviced under pro defender workshop revo. most wear and tears replaced by previous owners! good to go with no repairs needed! accident free unit, 1 careful previous owner! call now for any enquiries! high loans available and trade ins welcomed! don't miss!",2015,,7-Jan-16,truck,-,manual,1800,,diesel,2198,1,26730,42036,,18369,52200,60129,3007,,6-Jan-36,uncategorized,"powered by defender's refined 2.2 litre diesel produces 122hp, 4 wheel drive, 6 speed manual transmission! view specs of the land rover defender 90 diesel","land rover folding seats! spacious loading rear space, 4x4 wheeler!",,128500,148066.16,19566.16
1875,13624,890904,Foton Aumark,foton,aumark,"hight box, well kept, in house loan available.",2015,,27-Aug-16,truck,-,manual,7060,,diesel,6690,2,7150,16846,,8432,,48298,2415,,26-Aug-36,uncategorized,"24 ft box, 10 ton truck attach with power tailgate.",cd player.,,39400,53897.195,14497.195
3036,14785,1007974,Isuzu FXZ77M Tipper,isuzu,fxz77m,we are offering 6 months warranty program! 1 major servicing! 2 standard servicing! superb condition! 1 owner! 100% bank/in house loan available with low interest! no hidden costs! high trade-in price for your used vehicle! call us to find out more!,2013,,10-Jan-14,truck,-,manual,11340,,diesel,9839,2,29420,48001,,11402,,81793,4090,,,uncategorized,,,,76900,88404.59,11504.59
431,12180,1020699,Isuzu FXZ77M Tipper,isuzu,fxz77m,refurbished and ready to go! please call to arrange for an appointment,2013,,3-Jan-14,truck,direct owner sale,manual,11180,,diesel,9839,3,28780,48001,,11310,,81944,4098,,2-Jan-34,uncategorized,28 ton isuzu tipper! fuel friendly! high tipper deck!,,,74600,84965.88,10365.88
426,12175,1013490,Maxus V80 Commuter 2.5M,maxus,v80,owner consignment unit! c&c maintained unit! immaculate condition! call now for an no obligations discussion!,2015,,17-Feb-16,van,-,manual,2100,,diesel,2499,2,6650,48101,,21560,,31215,1561,,16-Feb-36,uncategorized,spacious ergonomic long wheel base van! great for transporting of large goods and a large driver cabin! c&c warranty!,,,32800,43058.08,10258.08
3671,15420,1018078,Mitsubishi Fuso Canter FEB71,,fuso,"1 owner unit. super low mileage and tip top condition, comes with full canopy and full checker plate, trade in welcome. don't miss it great unit. call now for viewing and test drive.",2013,,14-Jan-14,truck,premium ad car,manual,2500,,diesel,2998,1,11650,18549,,4426,,31458,1573,,13-Jan-34,uncategorized,,,,30600,39083.754,8483.754
370,12119,1018087,Nissan Cabstar,nissan,cabstar,"servicing done regularly, come with full canopy.",2014,,9-Sep-14,truck,direct owner sale,manual,1940,,diesel,2953,2,8510,6874,,2090,,25081,1255,,8-Sep-34,uncategorized,view specs of the nissan cabstar,,,28500,36828.18,8328.18
4518,16267,995443,Isuzu TFR86,isuzu,tfr86,"4/15 isuzu tfr 86 double cab pickup, 1 owner, low usage, normal hdb parking fee. can register personal name, loan/trade-in welcome.",2015,,17-Apr-15,truck,premium ad car,manual,1740,,diesel,2499,1,14220,64001,,23321,105983,30908,35272,,16-Apr-35,uncategorized,,,,57000,63939.082,6939.082
3888,15637,1014197,Fiat Doblo Cargo Maxi 1.6M Multijet,fiat,doblo,please call in advance before viewing. thanks!,2014,,24-Mar-14,van,-,manual,1520,,diesel,1598,2,7680,56302,,14515,,20538,1027,,,uncategorized,view specs of the fiat professional doblo cargo diesel,,,21800,28707.502,6907.502
