,listing_id,title,make,model,description,manufactured,original_reg_date,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,lifespan,eco_category,features,accessories,indicative_price,price,market_price
11749,1030576,Honda Shuttle 1.5A G,honda,shuttle,"one of the cheapest and guaranteed units in the market with attractive accessories! 2x free servicing! fuel efficiency, a great reliable car for fetching your family for an outing! inspection welcome, flexible financing available, trade-in welcome, call for viewing now! before is too late!",2015.0,,19-may-2016,stationwagon,"parf car, premium ad car",auto,1130.0,97.0,,1496.0,4.0,10450.0,47020.0,682.0,27110.0,97000.0,17296.0,7296.0,,,uncategorized,honda earth dreams fuel efficient 4 cylinder dohc 16 valves engine. 7 speed cvt automatic transmission. abs. esp. airbags. eco mode. view specs of the honda shuttle,"hks exhaust, bodykit, ap bbk with hel brake hose, razer forged rims and android player.",,57800.0,58464.543
11750,1014996,Honda Civic Type R 2.0M VTEC Turbo GT,honda,civic,facelifted new unit. 5 years warranty. trade in with us for better deals. call for viewing.,2021.0,,10-jun-2021,sports car,"parf car, almost new car, premium ad car, low mileage car",manual,1433.0,235.0,,1996.0,1.0,19320.0,46002.0,1208.0,89422.0,20.0,47967.0,59154.0,,,uncategorized,"powered by 2.0l turbocharged engine mated to a 6-speed manual, producing 306 bhp and 400 nm of torque. 0-100 km/h in 5.9s. top speed of 268 km/h. view specs of the honda civic type-r","brembo brakes, floating mount discs, alcantara steering, short shifter, better cooling system.",,240700.0,241171.66
11751,1025933,BMW 5 Series 523i (COE till 04/2030),bmw,523i,10,2010.0,,30-apr-2010,luxury sedan,"coe car, direct owner sale, low mileage car",auto,1650.0,150.0,,2497.0,4.0,8660.0,33568.0,2155.0,29080.0,103000.0,40475.0,40475.0,,,uncategorized,"12 inch android player, reverse camera, auto tailgate, excellent interior condition for its age, all perks you can expect from this 523i. view specs of the bmw 523i",as stated above.,,82500.0,84195.15
11752,738296,Honda Fit 1.3A GF,honda,fit,"new facelift model, to be delivered by this month. hurry! view it to believe it! call our friendly salesman now!",2018.0,,08-may-2018,hatchback,parf car,auto,,73.0,,1317.0,1.0,10640.0,38510.0,578.0,29568.0,,14679.0,5000.0,,,uncategorized,"powerful and responsive. smooth 5 speed cvt automatic transmission, srs airbags and knockdown rear seats, fuel consumption of 19.6km/l. view specs of the honda fit 2017","multi info display, fully automatic air conditioner, door lining garnish, auto retractable mirror. pioneer dvd player with bluetooth, leather seats.",,81200.0,79388.89
11753,995569,Mazda 3 1.5A Sunroof,mazda,3,"elegant blue, with sunroof, one owner only, low mileage done, low maintenance cost, very well maintained, easy financing, flexible in-house loan packages available.",2016.0,,27-apr-2016,mid-sized sedan,parf car,auto,1321.0,88.0,,1496.0,1.0,9760.0,45002.0,682.0,28610.0,67000.0,15841.0,10841.0,,,uncategorized,"airbags, abs, reliable 1.5l 4 cylinder inline 16v dohc skyactiv-g engine, 6 speed auto, keyless start/stop, sunroof. view specs of the mazda 3 sedan","leather seats, sports rims, audio system, multi function steering.",,56100.0,56748.812
11754,1022043,Citroen C4 Picasso Diesel 1.6A BlueHDi,citroen,c4,"our company makes it mandatory for employees to undergo a covid-19 art testing every 2 weeks. this ensures the full safety of our clients. 1 owner unit. vehicle extremely low mileage and fully maintained by agent c&c. well known for it's smooth transmission, exceptional fuel efficiency and comfortable interior space. purchase with assurance from casetrust accredited company.",2015.0,,02-dec-2015,mpv,"parf car, premium ad car",auto,1320.0,88.0,diesel,1560.0,1.0,9020.0,59200.0,1144.0,32670.0,64448.0,23963.0,10549.0,,,uncategorized,"1.6l diesel bluehdi turbocharged engine producing 118bhp with 6 speed fully auto gearbox, abs, esp, srs, drl, keyless entry push start/stop function. view specs of the citroen c4 picasso diesel","premium leather seats, 17"" s/rims, factory integrated touchscreen multimedia infotainment systems with navigation/bluetooth/rev cam, folding mirrors.",,48200.0,47518.91
11755,1023445,Toyota Vios 1.5A E (New 5-yr COE),toyota,vios,"beautiful vios with new coe! maintained in good condition. regularly serviced. new paintwork. bank/in-house loan available. reliable engine, practical, most fuel efficient 1.5l family sedan. call us for a viewing appointment today.",2011.0,,27-dec-2011,mid-sized sedan,coe car,auto,1095.0,80.0,,1497.0,2.0,7750.0,,684.0,,,10739.0,10739.0,,,uncategorized,"16v dohc 1.5l vvt-i engine, 5 speed auto transmission, abs, airbag, driver height adjustor, retractable mirror, fuel efficiency of 15km/l view specs of the toyota vios","leather seats, 15"" sports rims, new dunlop tyres. factory audio/cd player. tinted films, reverse sensors, remote alarm.",,42700.0,39326.023
11756,1030519,Toyota Vios 1.5A E (COE till 07/2023),toyota,vios,"good condition original unit, worry free excellent condition and well kept. very safe buy, no repairs needed. in house 6 months comprehensive warranty with 24/7 breakdown recovery service. high loan available! we welcome pre purchase inspection or sta evaluation. call us now for more information or make an appointment to view!",2008.0,,11-jul-2008,mid-sized sedan,"coe car, premium ad car",auto,1095.0,80.0,,1497.0,3.0,7030.0,18583.0,958.0,6771.0,,12344.0,12344.0,,,uncategorized,"powerful 1.5 litre vvt-i 16 valves inline dohc engine, auto transmission, abs, ebd, dual srs airbags view specs of the toyota vios",,,14100.0,14379.364
11757,998773,Renault Scenic Diesel 1.5A dCi,renault,scenic,"1 owner, low mileage in immaculate condition, diesel technology for high fuel efficiency, 5 seater with spacious cabin and powerful drive. special promotional interest rate available now! please call/whatsapp/sms for enquiries and viewing.",2019.0,,24-apr-2019,mpv,"parf car, low mileage car",auto,1501.0,81.0,diesel,1461.0,1.0,9450.0,29159.0,1048.0,33333.0,20100.0,23315.0,14641.0,,,uncategorized,"powerful 1.5 turbo diesel with 240nm of torque at 1,750rpm. efficient 6 speed dual-clutch with steptronic. 5 star euro ncap. keyless entry/ignition. view specs of the renault grand scenic diesel","20"" rims, factory fitted gps, leather seats, rear passenger aircon, reverse camera/sensors, automatic knock down rear seats.",,87800.0,91437.21
11758,1006091,Audi Q5 2.0A TFSI Quattro,audi,q5,"super well maintained by owner, service every 6k mileage, all servicing and repair records available! radiator/brake pads etc all done up! buy with a peace of mind! trade in your existing car with us now! flexible loan schemes to meet your needs, large and spacious boot space and back seats. luxurious and comfortable feel. call/whatsapp now to find out more! viewing strictly via appointment only!",2014.0,,27-feb-2015,suv,"parf car, consignment car",auto,1830.0,165.0,,1984.0,2.0,13320.0,67901.0,1194.0,59041.0,130000.0,44903.0,54865.0,,,uncategorized,"powered by a 2.0l turbocharged engine producing 221 bhp, 8 speed automatic transmission, traction/cruise control, knockdown rear seats, paddle shifter view specs of the audi q5","upgraded 22"" rims and tyres, twin electric seat, keyless entry/start/stop, navigation, reverse sensors, electric brake, auto tailgate, bluetooth.",,81600.0,84256.97
